table_name,column_name,data_type,is_nullable,column_default,is_primary_key,is_unique,referenced_table,referenced_column
about_page,appdescription_en,text,NO,null,null,null,null,null
about_page,appdescription_tr,text,NO,null,null,null,null,null
about_page,appname,text,NO,null,null,null,null,null
about_page,created_at,timestamp with time zone,NO,now(),null,null,null,null
about_page,developer_en,text,YES,null,null,null,null,null
about_page,developer_tr,text,YES,null,null,null,null,null
about_page,id,bigint,NO,null,PK,null,null,null
about_page,is_active,boolean,NO,true,null,null,null,null
about_page,updated_at,timestamp with time zone,NO,now(),null,null,null,null
admins,admin_id,uuid,NO,null,PK,null,null,null
admins,created_at,timestamp without time zone,YES,now(),null,null,null,null
admins,updated_at,timestamp without time zone,YES,now(),null,null,null,null
admins,user_id,uuid,YES,null,null,null,users,id
age_groups,age_group_en,text,YES,null,null,null,null,null
age_groups,age_group_id,smallint,NO,null,PK,UNIQUE,null,null
age_groups,age_group_tr,text,YES,null,null,null,null,null
app_config,ends_at,timestamp with time zone,YES,null,null,null,null,null
app_config,id,uuid,NO,gen_random_uuid(),PK,null,null,null
app_config,is_active,boolean,NO,true,null,null,null,null
app_config,key,text,NO,null,null,null,null,null
app_config,platform,USER-DEFINED,NO,'all'::app_platform,null,null,null,null
app_config,starts_at,timestamp with time zone,YES,null,null,null,null,null
app_config,updated_at,timestamp with time zone,NO,now(),null,null,null,null
app_config,updated_by,uuid,YES,null,null,null,users,id
app_config,value_json,jsonb,YES,null,null,null,null,null
app_config,value_text,text,YES,null,null,null,null,null
app_subscription_payments,amount,numeric,YES,null,null,null,null,null
app_subscription_payments,created_at,timestamp without time zone,YES,now(),null,null,null,null
app_subscription_payments,payment_date,date,YES,null,null,null,null,null
app_subscription_payments,payment_id,uuid,NO,null,PK,null,null,null
app_subscription_payments,status,text,YES,null,null,null,null,null
app_subscription_payments,subscription_id,uuid,YES,null,null,null,app_subscriptions,subscription_id
app_subscription_payments,updated_at,timestamp without time zone,YES,now(),null,null,null,null
app_subscriptions,created_at,timestamp without time zone,YES,now(),null,null,null,null
app_subscriptions,end_date,date,YES,null,null,null,null,null
app_subscriptions,monthly_fee,numeric,YES,null,null,null,null,null
app_subscriptions,start_date,date,YES,null,null,null,null,null
app_subscriptions,status,text,YES,null,null,null,null,null
app_subscriptions,subscription_id,uuid,NO,null,PK,null,null,null
app_subscriptions,updated_at,timestamp without time zone,YES,now(),null,null,null,null
app_subscriptions,user_id,uuid,YES,null,null,null,users,id
athlete_coach,athlete_id,uuid,NO,null,PK,null,athletes,athlete_id
athlete_coach,coach_id,uuid,NO,null,PK,null,coaches,coach_id
athlete_coach,created_at,timestamp with time zone,YES,now(),null,null,null,null
athlete_coach,requester_id,uuid,YES,null,null,null,null,null
athlete_coach,status,text,YES,'pending'::text,null,null,null,null
athlete_coach,updated_at,timestamp with time zone,YES,now(),null,null,null,null
athletes,address,text,YES,null,null,null,null,null
athletes,athlete_id,uuid,NO,null,PK,null,null,null
athletes,city,text,YES,null,null,null,null,null
athletes,club_id,uuid,YES,null,null,null,clubs,club_id
athletes,country,text,YES,null,null,null,null,null
athletes,date_of_birth,date,YES,null,null,null,null,null
athletes,email,text,YES,null,null,null,null,null
athletes,first_name,text,YES,null,null,null,null,null
athletes,gender,text,YES,null,null,null,null,null
athletes,last_name,text,YES,null,null,null,null,null
athletes,nationality,text,YES,null,null,null,null,null
athletes,notes,text,YES,null,null,null,null,null
athletes,parent_id,uuid,YES,null,null,null,parents,parent_id
athletes,phone_number,text,YES,null,null,null,null,null
athletes,photo,text,YES,null,null,null,null,null
athletes,profile_id,uuid,YES,null,null,null,profiles,id
athletes,user_id,uuid,YES,null,null,null,users,id
club_coach,club_id,uuid,NO,null,PK,null,clubs,club_id
club_coach,coach_id,uuid,NO,null,PK,null,coaches,coach_id
club_membership_payments,amount,numeric,YES,null,null,null,null,null
club_membership_payments,created_at,timestamp without time zone,YES,now(),null,null,null,null
club_membership_payments,membership_id,uuid,YES,null,null,null,club_memberships,membership_id
club_membership_payments,payment_date,date,YES,null,null,null,null,null
club_membership_payments,payment_id,uuid,NO,null,PK,null,null,null
club_membership_payments,status,text,YES,null,null,null,null,null
club_membership_payments,updated_at,timestamp without time zone,YES,now(),null,null,null,null
