source_schema,source_table,src_columns,target_schema,target_table,tgt_columns,on_update_action,on_delete_action
auth,identities,{user_id},auth,users,{id},NO ACTION,CASCADE
auth,mfa_amr_claims,{session_id},auth,sessions,{id},NO ACTION,CASCADE
auth,mfa_challenges,{factor_id},auth,mfa_factors,{id},NO ACTION,CASCADE
auth,mfa_factors,{user_id},auth,users,{id},NO ACTION,CASCADE
auth,one_time_tokens,{user_id},auth,users,{id},NO ACTION,CASCADE
auth,refresh_tokens,{session_id},auth,sessions,{id},NO ACTION,CASCADE
auth,saml_providers,{sso_provider_id},auth,sso_providers,{id},NO ACTION,CASCADE
auth,saml_relay_states,{flow_state_id},auth,flow_state,{id},NO ACTION,CASCADE
auth,saml_relay_states,{sso_provider_id},auth,sso_providers,{id},NO ACTION,CASCADE
auth,sessions,{user_id},auth,users,{id},NO ACTION,CASCADE
auth,sso_domains,{sso_provider_id},auth,sso_providers,{id},NO ACTION,CASCADE
pgsodium,key,{parent_key},pgsodium,key,{id},NO ACTION,NO ACTION
public,app_config,{updated_by},auth,users,{id},NO ACTION,NO ACTION
public,athlete_coach,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,athlete_coach,{athlete_id},public,athletes,{athlete_id},NO ACTION,NO ACTION
public,athlete_coach,{coach_id},public,coaches,{coach_id},NO ACTION,NO ACTION
public,athlete_coach,{coach_id},public,coaches,{coach_id},NO ACTION,NO ACTION
public,athletes,{user_id},auth,users,{id},NO ACTION,CASCADE
public,athletes,{user_id},auth,users,{id},NO ACTION,CASCADE
public,athletes,{club_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,athletes,{club_id},public,clubs,{club_id},NO ACTION,NO ACTION
public,athletes,{profile_id},public,profiles,{id},NO ACTION,NO ACTION
public,athletes,{parent_id},public,xxx_parents,{parent_id},NO ACTION,NO ACTION
public,athletes,{parent_id},public,xxx_parents,{parent_id},NO ACTION,NO ACTION
public,coaches,{profile_id},public,profiles,{id},NO ACTION,NO ACTION
